,Project ID,Status,Line Items (Top-Level Only),Quantity
0,128012296,Contract Signed,Peacock Chairs,2
1,127475321,Lost,Emmit Hairpin Table,2
1,127475321,Lost,Ghost Chair,12
1,127475321,Lost,Maintenance Fee,1
2,127921809,Contract Signed,Clear Mismatched Goblets,60
2,127921809,Contract Signed,Large Brass Candlesticks,20
2,127921809,Contract Signed,Medium Brass Candlesticks,20
2,127921809,Contract Signed,Small Brass Candlesticks,10
2,127921809,Contract Signed,Orbis Lanterns,10
2,127921809,Contract Signed,Clear Cylinder Votive Holders,14
2,127921809,Contract Signed,Maintenance Fee,1
3,128526602,Lost,Kingston Farmtable,1
4,127589800,Contract Signed,Noema Settee,1
4,127589800,Contract Signed,Maintenance Fee,1
5,130962337,Contract Signed,Acapulco Chair,1
5,130962337,Contract Signed,Maintenance Fee,1
6,130498365,Lost,Daniela Peacock Chair Set,1
6,130498365,Lost,Elissa Cake Stand,1
6,130498365,Lost,Medium Glass Candlesticks,15
6,130498365,Lost,Small Glass Candlesticks,15
6,130498365,Lost,Maintenance Fee,1
7,128149924,Contract Signed,Ghost Chair,70
7,128149924,Contract Signed,Carry In/Carry Out Service Fee,2
7,128149924,Contract Signed,Maintenance Fee,1
8,129109072,Lost,Teasets,5
8,129109072,Lost,Vintage Teacups,30
8,129109072,Lost,Vintage Mismatched China,30
8,129109072,Lost,Maintenance Fee,1
9,128232329,Lost,Montmarte Display Cart,1
9,128232329,Lost,Maintenance Fee,1
10,130492155,Lost,Gardenia Arch,1
10,130492155,Lost,Emmaline Cart,1
10,130492155,Lost,Tiwa Round Tiered Stand,2
10,130492155,Lost,Tiwa Square Tiered Stand,2
10,130492155,Lost,Ellery Cake Stand,4
10,130492155,Lost,Dora Cake Stands,4
10,130492155,Lost,Francesca Buffet,1
10,130492155,Lost,Saks Table,1
10,130492155,Lost,Max Beverage Tub,1
10,130492155,Lost,Mason Drink Dispenser,4
10,130492155,Lost,Blush Pink Goblets,100
10,130492155,Lost,Maintenance Fee,1
11,130529451,Lost,Kingston Farmtable,2
11,130529451,Lost,Kingston Sweetheart Farmtable,1
11,130529451,Lost,Vineyard Chair,14
11,130529451,Lost,Marcel Chair,1
11,130529451,Lost,Octiana Coffee Table,1
11,130529451,Lost,Meg Rug,1
11,130529451,Lost,Suja Rug,1
11,130529451,Lost,Maintenance Fee,1
12,130494879,Lost,Erika Settee,1
12,130494879,Lost,Louis French Chair,18
12,130494879,Lost,Clear Cylinder Votive Holders,10
12,130494879,Lost,Light Blue Mismatched Goblets,125
12,130494879,Lost,"""Chione"" Ivory Ornate Sofa w/ Pale Blue Trim",1
12,130494879,Lost,Versailles Chair,2
12,130494879,Lost,Nathalie Coffee Table,1
12,130494879,Lost,Francesca Buffet,1
12,130494879,Lost,Dubly Tub,1
12,130494879,Lost,Max Beverage Tub,1
12,130494879,Lost,Mason Drink Dispenser,3
12,130494879,Lost,Tiwa Square Tiered Stand,1
12,130494879,Lost,Amour Cake Server,1
12,130494879,Lost,Maintenance Fee,1
13,130530395,Lost,Light Blue Mismatched Goblets,160
13,130530395,Lost,Maintenance Fee,1
14,128652710,Contract Signed,Noema Settee,1
14,128652710,Contract Signed,Maintenance Fee,1
14,128652710,Contract Signed,Carry In/Carry Out Service Fee,2
15,130842914,Lost,Kingston Farmtable,4
15,130842914,Lost,Kingston Sweetheart Farmtable,1
15,130842914,Lost,Vineyard Chair,20
15,130842914,Lost,Clayton Chair,2
15,130842914,Lost,Annabelle Wagon,1
15,130842914,Lost,Maintenance Fee,1
16,129904471,Contract Signed,Raquel Settee,1
16,129904471,Contract Signed,Kismet Rug,1
16,129904471,Contract Signed,Minette Jars,4
16,129904471,Contract Signed,Scalene Gold Cake Stand,1
16,129904471,Contract Signed,Large Brass Candlesticks,1
16,129904471,Contract Signed,Medium Brass Candlesticks,1
16,129904471,Contract Signed,Maintenance Fee,1
17,128653458,Contract Signed,Juniper Buffet,1
17,128653458,Contract Signed,Vineyard Chair,6
17,128653458,Contract Signed,Provasi Chair,1
17,128653458,Contract Signed,Polly Ladder,1
17,128653458,Contract Signed,Draper Bar Cart,1
17,128653458,Contract Signed,Navy Blue Mismatched Goblets,5
17,128653458,Contract Signed,Light Blue Mismatched Goblets,5
17,128653458,Contract Signed,Mint Goblets,5
17,128653458,Contract Signed,Gold Paisley Chargers,15
17,128653458,Contract Signed,Vintage Mismatched China,15
17,128653458,Contract Signed,Vintage Gold Flatware,30
17,128653458,Contract Signed,Vintage Gold Flatware,15
17,128653458,Contract Signed,Santa Fe Suitcase,1
17,128653458,Contract Signed,"""Astrid"" Pale Green Cake Stand",1
17,128653458,Contract Signed,Maintenance Fee,1
17,128653458,Contract Signed,Ariana Drink Dispenser,1
17,128653458,Contract Signed,Phoebe Backdrop,1
18,128655445,Contract Signed,Vineyard Chair,161
18,128655445,Contract Signed,Louis French Chair,34
18,128655445,Contract Signed,Maintenance Fee,1
18,128655445,Contract Signed,Setup/Teardown Service Fee,2
19,128656963,Contract Signed,Kingston Farmtable,5
19,128656963,Contract Signed,Kingston Sweetheart Farmtable,1
19,128656963,Contract Signed,Oleander Chair,2
19,128656963,Contract Signed,Ceil Chair,54
